Ida Auken;SF;2011
Christian Friis Bach;R;2011
Pernille Vigsø Bagge;SF;2011
Lars Barfoed;K;2011
Tom Behnke;K;2011
Liselott Blixt;DF;2011
Mette Bock;LA;2011
Erling Bonnesen;V;2011
Trine Bramsen;S;2011
Stine Brix;EL;2011
Kirsten Brosbøl;S;2011
Morten Bødskov;S;2011
Bent Bøgsted;DF;2011
Anne Baastrup;SF;2011
Özlem Sara Cekic;SF;2011
Peter Christensen;V;2011
René Christensen;DF;2011
Villum Christensen;LA;2011
Anne-Mette Winther Christiansen;V;2011
Kim Christiansen;DF;2011
Per Clausen;EL;2011
Bjarne Corydon;S;2011
Jens Henrik Thulesen Dahl;DF;2011
Jonas Dahl;SF;2011
Kristian Thulesen Dahl;DF;2011
Lennart Damsbo-Andersen;S;2011
Thomas Danielsen;V;2011
Mette Dencker;DF;2011
Mikkel Dencker;DF;2011
Lars Dohn;EL;2011
Pia Olsen Dyhr;SF;2011
Louise Schack Elholm;V;2011
Jakob Ellemann-Jensen;V;2011
Karen Ellemann;V;2011
Benny Engelbrecht;S;2011
Lene Espersen;K;2011
Søren Espersen;DF;2011
Nadeem Farooq;R;2011
Dennis Flydtkjær;DF;2011
Thyra Frank;LA;2011
Claus Hjort Frederiksen;V;2011
Mette Frederiksen;S;2011
Steen Gade;SF;2011
Martin Geertsen;V;2011
Mette Gjerskov;S;2011
Karin Gaardsted;S;2011
Ane Halsboe-Larsen;S;2011
Carsten Hansen;S;2011
Eva Kjer Hansen;V;2011
Torben Hansen;S;2011
Orla Hav;S;2011
Jane Heitmann;V;2011
Martin Henriksen;DF;2011
Preben Bang Henriksen;V;2011
Camilla Hersom;R;2011
Magnus Heunicke;S;2011
Birthe Rønn Hornbech;V;2011
Henning Hyllested;EL;2011
Karen Hækkerup;S;2011
Nick Hækkerup;S;2011
Ole Hækkerup;S;2011
Henrik Høegh;V;2011
Bertel Haarder;V;2011
Doris Jakobsen;SIU;2011
Marianne Jelved;R;2011
Jacob Jensen;V;2011
Kristian Jensen;V;2011
Leif Lahn Jensen;S;2011
Michael Aastrup Jensen;V;2011
Mogens Jensen;S;2011
Peter Juel Jensen;V;2011
Thomas Jensen;S;2011
Karen Jespersen;V;2011
Jens Joel Nielsen;S;2011
Edmund Joensen;SaF;2011
Jan Johansen;S;2011
Birgitte Josefsen;V;2011
Christian Juhl;EL;2011
Jan E. Jørgensen;V;2011
Morten Marinus Jørgensen;DF;2011
Pia Kjærsgaard;DF;2011
Karen J. Klint;S;2011
Simon Kollerup;S;2011
Astrid Krag;SF;2011
Marie Krarup;DF;2011
Henrik Dam Kristensen;S;2011
Christian Langballe;DF;2011
Rasmus Horn Langhoff;S;2011
Esben Lunde Larsen;V;2011
Flemming Damgaard Larsen;V;2011
Henrik Sass Larsen;S;2011
Karsten Lauritzen;V;2011
Bjarne Laustsen;S;2011
Mike Legarth;K;2011
Lars Christian Lilleholt;V;2011
Annette Lind;S;2011
Lone Loklindt;R;2011
Karina Lorentzen;SF;2011
Kristian Pihl Lorentzen;V;2011
Marlene Lorentzen;R;2011
Rosa Lund;EL;2011
Mogens Lykketoft;S;2011
Sophie Løhde;V;2011
Anni Matthiesen;V;2011
Brian Mikkelsen;K;2011
Jeppe Mikkelsen;R;2011
Leif Mikkelsen;LA;2011
Flemming Møller Mortensen;S;2011
Per Stig Møller;K;2011
Tina Nedergaard;V;2011
Holger K. Nielsen;SF;2011
Sofie Carsten Nielsen;R;2011
Karsten Nonbo;V;2011
Karin Nødgaard;DF;2011
Ellen Trane Nørby;V;2011
Ole Birk Olesen;LA;2011
Joachim B. Olsen;LA;2011
Sara Olsvig;IA;2011
Maja Panduro;S;2011
John Dyrby Paulsen;S;2011
Torsten Schack Pedersen;V;2011
Rasmus Helveg Petersen;R;2011
Søren Pind;V;2011
Lisbeth Bech Poulsen;SF;2011
Troels Lund Poulsen;V;2011
Rasmus Prehn;S;2011
Lars Løkke Rasmussen;V;2011
Troels Ravn;S;2011
Mette Reissmann;S;2011
Merete Riisager;LA;2011
Lotte Rod;R;2011
Pernille Rosenkrantz-Theil;S;2011
Mads Rørvig;V;2011
Anders Samuelsen;LA;2011
Manu Sareen;R;2011
Hans Christian Schmidt;V;2011
Johanne Schmidt-Nielsen;EL;2011
Sjúrður Skaale;JF;2011
Hans Kristian Skibby;DF;2011
Pernille Skipper;EL;2011
Julie Skovsby;S;2011
Peter Skaarup;DF;2011
Ole Sohn;SF;2011
Zenia Stampe;R;2011
Andreas Steenberg;R;2011
Inger Støjberg;V;2011
Finn Sørensen;EL;2011
Hans Christian Thoning;V;2011
Helle Thorning-Schmidt;S;2011
Eyvind Vesselbo;V;2011
Margrethe Vestager;R;2011
Annette Vilhelmsen;SF;2011
Nicolai Wammen;S;2011
Fatma Øktem;V;2011
Morten Østergaard;R;2011
Frank Aaen;EL;2011
Mette Abildgaard;KF;2015
Pia Adelsteen;DF;2015
Karina Adsbøl;DF;2015
